"nmf_type","fixW","beta","addedCompW","noise","noise.lvl","Sample","F","P","R"
"NMF","adaptive",0,0,"None",0,20,0.61,0.47,0.89
"NMF","adaptive",0,0,"None",0,18,0.65,0.54,0.83
"NMF","adaptive",0,0,"None",0,9,0.63,0.56,0.72
"NMF","adaptive",0,0,"None",0,11,0.52,0.38,0.84
"NMF","adaptive",0,0,"None",0,7,0.56,0.48,0.67
"NMF","adaptive",0,0,"None",0,16,0.7,0.55,0.96
"NMF","adaptive",0,0,"None",0,6,0.59,0.43,0.96
"NMF","adaptive",0,0,"None",0,17,0.7,0.57,0.9
"NMF","adaptive",0,0,"None",0,1,0.7,0.62,0.8
"NMF","adaptive",0,0,"None",0,10,0.87,0.88,0.86
"NMF","adaptive",0,0,"None",0,19,0.76,0.62,0.97
"NMF","adaptive",0,0,"None",0,8,0.84,0.74,0.97
"NMF","adaptive",0,0,"None",0,4,0.65,0.48,1
"NMF","adaptive",0,0,"None",0,15,0.64,0.47,1
"NMF","adaptive",0,0,"None",0,3,0.83,0.81,0.84
"NMF","adaptive",0,0,"None",0,12,0.58,0.46,0.79
"NMF","adaptive",0,0,"None",0,2,0.71,0.79,0.64
"NMF","adaptive",0,0,"None",0,13,0.61,0.57,0.65
"NMF","adaptive",0,0,"None",0,5,0.85,0.79,0.92
"NMF","adaptive",0,0,"None",0,14,0.68,0.54,0.93
"NMF","fixed",Inf,0,"None",0,20,0.82,0.71,0.96
"NMF","fixed",Inf,0,"None",0,18,0.7,0.69,0.71
"NMF","fixed",Inf,0,"None",0,9,0.93,1,0.88
"NMF","fixed",Inf,0,"None",0,11,0.82,0.83,0.8
"NMF","fixed",Inf,0,"None",0,7,0.83,0.92,0.75
"NMF","fixed",Inf,0,"None",0,16,0.83,0.8,0.87
"NMF","fixed",Inf,0,"None",0,6,0.82,0.69,1
"NMF","fixed",Inf,0,"None",0,17,0.81,0.78,0.84
"NMF","fixed",Inf,0,"None",0,1,0.92,0.88,0.97
"NMF","fixed",Inf,0,"None",0,10,0.89,0.97,0.82
"NMF","fixed",Inf,0,"None",0,19,0.93,0.87,1
"NMF","fixed",Inf,0,"None",0,8,0.95,0.95,0.95
"NMF","fixed",Inf,0,"None",0,4,0.91,0.83,1
"NMF","fixed",Inf,0,"None",0,15,0.72,0.56,1
"NMF","fixed",Inf,0,"None",0,3,0.87,1,0.77
"NMF","fixed",Inf,0,"None",0,12,0.75,0.61,0.97
"NMF","fixed",Inf,0,"None",0,2,0.74,0.88,0.64
"NMF","fixed",Inf,0,"None",0,13,0.62,0.65,0.6
"NMF","fixed",Inf,0,"None",0,5,0.87,0.82,0.92
"NMF","fixed",Inf,0,"None",0,14,0.9,1,0.81
"NMF","semi",1,0,"None",0,20,0.67,0.52,0.94
"NMF","semi",1,0,"None",0,18,0.69,0.58,0.85
"NMF","semi",1,0,"None",0,9,0.94,0.97,0.91
"NMF","semi",1,0,"None",0,11,0.7,0.6,0.84
"NMF","semi",1,0,"None",0,7,0.65,0.57,0.77
"NMF","semi",1,0,"None",0,16,0.7,0.57,0.91
"NMF","semi",1,0,"None",0,6,0.66,0.5,0.96
"NMF","semi",1,0,"None",0,17,0.62,0.51,0.8
"NMF","semi",1,0,"None",0,1,0.9,0.81,1
"NMF","semi",1,0,"None",0,10,0.92,0.97,0.86
"NMF","semi",1,0,"None",0,19,0.8,0.69,0.97
"NMF","semi",1,0,"None",0,8,0.96,0.95,0.97
"NMF","semi",1,0,"None",0,4,0.81,0.68,1
"NMF","semi",1,0,"None",0,15,0.65,0.48,1
"NMF","semi",1,0,"None",0,3,0.79,0.8,0.77
"NMF","semi",1,0,"None",0,12,0.67,0.55,0.85
"NMF","semi",1,0,"None",0,2,0.81,0.96,0.69
"NMF","semi",1,0,"None",0,13,0.62,0.62,0.62
"NMF","semi",1,0,"None",0,5,0.85,0.79,0.92
"NMF","semi",1,0,"None",0,14,0.72,0.6,0.93
"NMF","semi",2,0,"None",0,20,0.69,0.55,0.94
"NMF","semi",2,0,"None",0,18,0.69,0.59,0.85
"NMF","semi",2,0,"None",0,9,0.94,0.97,0.91
"NMF","semi",2,0,"None",0,11,0.71,0.62,0.84
"NMF","semi",2,0,"None",0,7,0.63,0.53,0.79
"NMF","semi",2,0,"None",0,16,0.67,0.54,0.87
"NMF","semi",2,0,"None",0,6,0.69,0.53,0.96
"NMF","semi",2,0,"None",0,17,0.62,0.56,0.7
"NMF","semi",2,0,"None",0,1,0.95,0.91,1
"NMF","semi",2,0,"None",0,10,0.92,0.97,0.86
"NMF","semi",2,0,"None",0,19,0.85,0.75,0.97
"NMF","semi",2,0,"None",0,8,0.95,0.92,0.97
"NMF","semi",2,0,"None",0,4,0.83,0.71,1
"NMF","semi",2,0,"None",0,15,0.66,0.49,1
"NMF","semi",2,0,"None",0,3,0.78,0.82,0.74
"NMF","semi",2,0,"None",0,12,0.68,0.57,0.85
"NMF","semi",2,0,"None",0,2,0.69,0.69,0.69
"NMF","semi",2,0,"None",0,13,0.63,0.64,0.62
"NMF","semi",2,0,"None",0,5,0.83,0.79,0.88
"NMF","semi",2,0,"None",0,14,0.74,0.61,0.93
"NMF","semi",3,0,"None",0,20,0.67,0.54,0.89
"NMF","semi",3,0,"None",0,18,0.7,0.61,0.83
"NMF","semi",3,0,"None",0,9,0.93,1,0.88
"NMF","semi",3,0,"None",0,11,0.72,0.61,0.88
"NMF","semi",3,0,"None",0,7,0.67,0.56,0.83
"NMF","semi",3,0,"None",0,16,0.68,0.56,0.87
"NMF","semi",3,0,"None",0,6,0.68,0.52,0.96
"NMF","semi",3,0,"None",0,17,0.6,0.49,0.76
"NMF","semi",3,0,"None",0,1,0.94,0.91,0.97
"NMF","semi",3,0,"None",0,10,0.9,0.97,0.84
"NMF","semi",3,0,"None",0,19,0.88,0.8,0.97
"NMF","semi",3,0,"None",0,8,0.95,0.95,0.95
"NMF","semi",3,0,"None",0,4,0.91,0.83,1
"NMF","semi",3,0,"None",0,15,0.72,0.56,1
"NMF","semi",3,0,"None",0,3,0.87,1,0.77
"NMF","semi",3,0,"None",0,12,0.69,0.58,0.85
"NMF","semi",3,0,"None",0,2,0.74,0.88,0.64
"NMF","semi",3,0,"None",0,13,0.62,0.63,0.61
"NMF","semi",3,0,"None",0,5,0.87,0.82,0.92
"NMF","semi",3,0,"None",0,14,0.76,0.64,0.93
"NMF","semi",4,0,"None",0,20,0.66,0.53,0.87
"NMF","semi",4,0,"None",0,18,0.72,0.64,0.83
"NMF","semi",4,0,"None",0,9,0.93,1,0.88
"NMF","semi",4,0,"None",0,11,0.82,0.83,0.8
"NMF","semi",4,0,"None",0,7,0.83,0.92,0.75
"NMF","semi",4,0,"None",0,16,0.68,0.54,0.91
"NMF","semi",4,0,"None",0,6,0.7,0.55,0.96
"NMF","semi",4,0,"None",0,17,0.58,0.48,0.76
"NMF","semi",4,0,"None",0,1,0.95,0.94,0.97
"NMF","semi",4,0,"None",0,10,0.9,0.97,0.84
"NMF","semi",4,0,"None",0,19,0.93,0.87,1
"NMF","semi",4,0,"None",0,8,0.95,0.95,0.95
"NMF","semi",4,0,"None",0,4,0.91,0.83,1
"NMF","semi",4,0,"None",0,15,0.72,0.56,1
"NMF","semi",4,0,"None",0,3,0.87,1,0.77
"NMF","semi",4,0,"None",0,12,0.69,0.58,0.85
"NMF","semi",4,0,"None",0,2,0.74,0.88,0.64
"NMF","semi",4,0,"None",0,13,0.63,0.64,0.62
"NMF","semi",4,0,"None",0,5,0.87,0.82,0.92
"NMF","semi",4,0,"None",0,14,0.9,1,0.81
"NMF","semi",5,0,"None",0,20,0.82,0.71,0.96
